id,name,link,created_at,slug
1,Art,https://www.goodreads.com/genres/art,2023-05-24 08:01:37.773727+00,art
2,Biography,https://www.goodreads.com/genres/biography,2023-05-24 08:01:37.773727+00,biography
3,Business,https://www.goodreads.com/genres/business,2023-05-24 08:01:37.773727+00,business
4,Children's,https://www.goodreads.com/genres/children-s,2023-05-24 08:01:37.773727+00,childrens
5,Classics,https://www.goodreads.com/genres/classics,2023-05-24 08:01:37.773727+00,classics
6,Comics,https://www.goodreads.com/genres/comics,2023-05-24 08:01:37.773727+00,comics
7,Contemporary,https://www.goodreads.com/genres/contemporary,2023-05-24 08:01:37.773727+00,contemporary
8,Crime,https://www.goodreads.com/genres/crime,2023-05-24 08:01:37.773727+00,crime
9,Ebooks,https://www.goodreads.com/genres/ebooks,2023-05-24 08:01:37.773727+00,ebooks
10,Fantasy,https://www.goodreads.com/genres/fantasy,2023-05-24 08:01:37.773727+00,fantasy
11,Fiction,https://www.goodreads.com/genres/fiction,2023-05-24 08:01:37.773727+00,fiction
12,History,https://www.goodreads.com/genres/history,2023-05-24 08:01:37.773727+00,history
13,Horror,https://www.goodreads.com/genres/horror,2023-05-24 08:01:37.773727+00,horror
14,Humor and Comedy,https://www.goodreads.com/genres/humor-and-comedy,2023-05-24 08:01:37.773727+00,humor-and-comedy
15,Manga,https://www.goodreads.com/genres/manga,2023-05-24 08:01:37.773727+00,manga
16,Memoir,https://www.goodreads.com/genres/memoir,2023-05-24 08:01:37.773727+00,memoir
17,Music,https://www.goodreads.com/genres/music,2023-05-24 08:01:37.773727+00,music
18,Mystery,https://www.goodreads.com/genres/mystery,2023-05-24 08:01:37.773727+00,mystery
19,Nonfiction,https://www.goodreads.com/genres/non-fiction,2023-05-24 08:01:37.773727+00,nonfiction
20,Paranormal,https://www.goodreads.com/genres/paranormal,2023-05-24 08:01:37.773727+00,paranormal
21,Philosophy,https://www.goodreads.com/genres/philosophy,2023-05-24 08:01:37.773727+00,philosophy
22,Poetry,https://www.goodreads.com/genres/poetry,2023-05-24 08:01:37.773727+00,poetry
23,Psychology,https://www.goodreads.com/genres/psychology,2023-05-24 08:01:37.773727+00,psychology
24,Religion,https://www.goodreads.com/genres/religion,2023-05-24 08:01:37.773727+00,religion
25,Romance,https://www.goodreads.com/genres/romance,2023-05-24 08:01:37.773727+00,romance
26,Science,https://www.goodreads.com/genres/science,2023-05-24 08:01:37.773727+00,science
27,Spirituality,https://www.goodreads.com/genres/spirituality,2023-05-24 08:01:37.773727+00,spirituality
28,Sports,https://www.goodreads.com/genres/sports,2023-05-24 08:01:37.773727+00,sports
29,Thriller,https://www.goodreads.com/genres/thriller,2023-05-24 08:01:37.773727+00,thriller
30,Travel,https://www.goodreads.com/genres/travel,2023-05-24 08:01:37.773727+00,travel